,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
51,3QXFBUZ40O4K7Y6OSLOO49G4ALEUGO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3QAVNHZ3ERSJ013LO99E6K54YECLAJ,A3P7QP6K56ED2Z,Submitted,2020-05-24 01:05:17,2020-05-24 01:13:51,Wed May 27 01:13:51 PDT 2020,,,,514,0% (0/0),0% (0/0),0% (0/0),cnndm7770,unilm_out_v1,"['160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175']",Catherine Nevin was allowed out on day release on Wednesday afternoon . The 62 - year - old was jailed for life in 2000 for arranging to have her publican husband shot dead . She was permitted to attend an addiction studies course in Inchicore . She was pictured leaving Mountjoy Prison and making her way to the city centre . An unsuspecting female commuter sat next to her as she walked to A.,Catherine Nevin was allowed out.,Catherine Nevin was jailed for life.,Catherine Nevin was jailed in April,Catherine Nevin was jailed in 2000,Catherine Nevin is a 62 year old.,Catherine Nevin was seen on the bus.,Catherine Nevin was with a pal.,Catherine Nevin was walking around in Dublin.,Catherine Nevin sat on a bus.,Catherine Nevin sat next to a commuter.,Catherine Nevin was unnoticed.,Catherine Nevin is Ireland's most infamous prisoner.,Catherine Nevin murdered husband.,Tom was Catherine Nevin's husband,Catherine Nevin murdered her husband in 1996.,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
52,36U4VBVNRS1BWOF28WI03DUBCUPRUH,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,34MAJL3QP9BNI8XF92VNXVPN6IE341,A2BCNRHZU9V7C4,Submitted,2020-05-23 22:58:56,2020-05-23 23:10:16,Tue May 26 23:10:16 PDT 2020,,,,680,0% (0/0),0% (0/0),0% (0/0),cnndm1273,unilm_out_v1,"['1584', '1585', '1586', '1587', '1588', '1589', '1590', '1591', '1592', '1593', '1594', '1595', '1596', '1597', '1598', '1599']","Lindsay Sandiford , 58 , believes she will be executed by the end of the year . She was sentenced to death after Indonesian police linked her to five kilograms of cocaine . Australians Andrew Chan , 31 , and Myuran Sukumaran , 33 , were executed by firing squad . The pair were the first to die in the latest round of executions after a final KFC bucket meal .",Lindsay Sandiford is afraid,Lindsay Sandiford fears she will be next to face the firing squad,Andrew Chan was killed,Myuran Sukumaran was killed,Lindsay Sandiford is 58 year old.,Lindsay Sandiford has been on a death row.,Lindsay Sandiford has been in Bali.,Lindsay Sandiford has been on a death row since 2012.,Lindsay Sandiford was convicted in 2012.,Lindsay Sandiford was convicted for attempting to smuggle cocaine,The cocaine was worth 1.6 million,Myuran Sukumaran had a final KFC bucket meal,Andrew Chan had a final KFC bucket meal,BLANK,BLANK,BLANK,p,n,p,p,n,n,n,n,n,p,p,p,p,n,n,n,{},,
55,3VADEH0UIGLA5Y7J6ZJBJHC8QFGPS7,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3VD82FOHKVCFZ13GLFLX4WZMTMYOC1,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:28:43,2020-05-24 00:35:14,Wed May 27 00:35:14 PDT 2020,,,,391,0% (0/0),0% (0/0),0% (0/0),cnndm8306,unilm_out_v1,"['896', '897', '898', '899', '900', '901', '902', '903', '904', '905', '906', '907', '908', '909', '910', '911']","The tragedy occurred at Westfield High School in Indiana on Thursday night . Just as the entire cast danced on - stage for the finale , the platform beneath them collapsed . One of the victims , Nicola Gruszka , was so shocked that she was unable to move and was still holding the microphone 30 minutes later . ` all of a sudden , everyone was gone , ' One Parent .",There was a performance at an Indiana public school.,The performance was of American Pie.,The performance ended in tragedy.,The performance was on Wednesday.,A riser buckled at the performance.,The riser buckled as many danced on-stage.,More than a dozen people were injured.,The school is Westfield High.,One student was taken to a hospital in critical condition.,Students said there had been no issues previously.,Students said they previously practiced the song on the stage with the same number of people .,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
56,3HEADTGN3TGB9342DMS5ZZWUQ1YRV6,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3OLF68YTNEPX09TP2Y6GB70K1IIFA0,A12ATVBE1I4567,Submitted,2020-05-23 23:43:51,2020-05-24 00:08:32,Wed May 27 00:08:32 PDT 2020,,,,1481,0% (0/0),0% (0/0),0% (0/0),cnndm2065,unilm_out_v1,"['1408', '1409', '1410', '1411', '1412', '1413', '1414', '1415', '1416', '1417', '1418', '1419', '1420', '1421', '1422', '1423']","Abby Bishop's life changed when she took in her two - day - old niece Zala in August 2013 . Now Zala is 20 months old and she follows Bishop as she travels the world playing for professional teams . Bishop , now 26 , said it was a big decision at the time but she wouldn't change anything . The Basketballer base herself in Canberra , sometimes flying interstate with Zala .",Abby Bishop took in her niece,Niece is named Zala,Niece / Zala was two days old when Abby Bishop took her in,Abby Bishop took in her niece in August 2013,Niece / Zala is now 20 months old,Niece / Zala follows Bishop as she travels the world,Abby Bishop travels the world,Abby Bishop travels for professional basketball teams,Abby Bishop said taking in her niece / Zala was a big decision,Abby Bishop said that she wouldn't change anything,Niece / Zala will go with Abby Bishop when she starts playing in the U.S. WNBA,Abby Bishop will play for the U.S. WNBA in May,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,p,p,p,p,p,n,p,{},,
59,3TC2K6WKAKQWU7R4Q32U6D4E3BI28Y,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3BC8WZX3V8KM2GKFV4SWNM3D4ANRRL,AOWLCXNXCSQAC,Submitted,2020-05-24 00:52:47,2020-05-24 00:58:49,Wed May 27 00:58:49 PDT 2020,,,,362,0% (0/0),0% (0/0),0% (0/0),cnndm8613,unilm_out_v1,"['1056', '1057', '1058', '1059', '1060', '1061', '1062', '1063', '1064', '1065', '1066', '1067', '1068', '1069', '1070', '1071']","Paul and Laura Elliott tied the knot at the London Marathon on Sunday . 36,000 people took to the streets of London for the 26.2 mile event . Paul , 41 , lost his father to bowel cancer 19 years ago . By running this weekend's marathon , the couple have raised # 7,000 . The pair , who live in Clapham , London , ran across the finish .",Paul and Laura Elliott met half way round.,Paul and Laura Elliott met at St Katharine Docks.,Ceremony was witnessed by guests.,The ceremony was witnessed by 80 guests.,Paul and Laura Elliott ran across finish line.,Paul and Laura Elliott ran under a shower of confetti.,Paul and Laura Elliott returned to scene of ceremony.,Paul and Laura Elliott returned for a party later on.,7000 was raised for Cancer Research.,THe money was raise in honour of Paul's father.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,p,p,n,n,p,{},,
60,391FPZIE5GAY7U1ZCR66P9S5PLRUHN,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,308XBLVESNSZM93QZ766N7Y9MO8BRG,A12ATVBE1I4567,Submitted,2020-05-23 22:28:54,2020-05-23 22:47:30,Tue May 26 22:47:30 PDT 2020,,,,1116,0% (0/0),0% (0/0),0% (0/0),cnndm8001,unilm_out_v1,"['560', '561', '562', '563', '564', '565', '566', '567', '568', '569', '570', '571', '572', '573', '574', '575']",Winchester Council said annual clean - up hit by new rules . Health and Safety Executive Said Council were ` over-interpreting ' legislation . Sir Andrew Motion accuses Town Hall bosses and Highways Agency of ruining countryside . Roadside Litter has become a problem almost everywhere in the UK .,Winchester Council is in Hampshire,Winchester Council claimed annual clean - up,Winchester Council was hit by new rules.,Health and Safety Executive denied tightening rules.,Health and Safety Executive said that counciles were over-interpreting legislation.,Sir Andrew Motion is a poet laureate.,Sir Andrew Motion accused Town Hall bosses.,Sir Andrew Motion accused Highways Agency.,The accusation was of ruining the countryside.,The accusation was of failing to remove rubbish.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,p,n,p,p,p,{},,
63,3G3AJKPCYPGLCRX97LJCY5PEG4H4YA,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3PJUZCGDJB4AGB9X2EMA5K8E8WI98T,A2WVY1WO8EBV8V,Submitted,2020-05-23 22:40:58,2020-05-23 23:16:49,Tue May 26 23:16:49 PDT 2020,,,,2151,0% (0/0),0% (0/0),0% (0/0),cnndm10231,unilm_out_v1,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The Red Wings ` Drew Miller was left with a gruesome red wound that required 50 to 60 stitches to close along multiple layers of skin . The incident occurred during the first period of Tuesday's game between the Red Wings and the Senators . While falling to the ice , Ottawa's Mark Stone lifted his skate and struck Miller under the visor with the blade . Miller .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
64,3YOAVL4CB45LHH7E37LVCCYGMYL4Z1,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3TVSS0C0E6O4QRETYN7XA0CCKANWTU,A12ATVBE1I4567,Submitted,2020-05-23 22:33:25,2020-05-23 22:50:36,Tue May 26 22:50:36 PDT 2020,,,,1031,0% (0/0),0% (0/0),0% (0/0),cnndm7174,unilm_out_v1,"['496', '497', '498', '499', '500', '501', '502', '503', '504', '505', '506', '507', '508', '509', '510', '511']","A row over a 40ft high leylandii hedge has finally come to and end after 35 years . Audrey Alexander , 54 , bought the house and asked her neighbour to trim it . She claims the hedge has knocked # 20,000 off the value of her property . Stirling Council has ruled that Mrs Robinson can keep the hedge , although it has to be cut to 20ft .",Audrey Alexander wanted something from her neighbours.,Audrey Alexander wanted her neighbours to chop down their hedge.,The hedge was huge.,The hedge was 40ft,The hedge was a leylandii.,The hedge was blocking sunlight.,The hedge was blocking sunlight from reaching Audrey Alexander's home.,There was a feud in 1980.,The hedge blocked light from reaching a vegetable patch.,Council rules that hedge can stay.,Council rules that hedge must be cut back to 20 ft.,BLANK,BLANK,BLANK,BLANK,BLANK,p,p,n,n,n,n,n,p,p,n,p,p,n,n,n,n,{},,
66,3R5OYNIC3GXBKYKYVZO1TM8USYUPTW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3K772S5NPDZK4I17DTW2AB2O2CMHEO,AUY1BHG95025D,Submitted,2020-05-23 22:19:59,2020-05-23 22:21:10,Tue May 26 22:21:10 PDT 2020,,,,71,0% (0/0),0% (0/0),0% (0/0),cnndm8565,unilm_out_v1,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']","Godfrey Elfwick was recruited to appear on BBC's World Have Your Say . He said the Star Wars films were anti-women , anti-gay and said Darth Vader listens to rap music . The programme were looking for people who had never seen any of the films . He said : ` I ' ve never actually seen # StarWars but the fact that the bad guy was All Black .",Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,{},,
67,3R5OYNIC3GXBKYKYVZO1TM8USYUPTW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3OVR4I9USU7FP93H7D7JA3IYGAQQ4P,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:47:36,2020-05-23 22:48:58,Tue May 26 22:48:58 PDT 2020,,,,82,0% (0/0),0% (0/0),0% (0/0),cnndm8565,unilm_out_v1,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']","Godfrey Elfwick was recruited to appear on BBC's World Have Your Say . He said the Star Wars films were anti-women , anti-gay and said Darth Vader listens to rap music . The programme were looking for people who had never seen any of the films . He said : ` I ' ve never actually seen # StarWars but the fact that the bad guy was All Black .",Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,{},,
69,3UY4PIS8RV9A8TWCD1RZJRK4002N1P,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3PH3VY7DJQL0C3NS4FWFWODT56PZWT,A3PYB8Z6FFWSOV,Submitted,2020-05-24 01:49:01,2020-05-24 02:15:57,Wed May 27 02:15:57 PDT 2020,,,,1616,0% (0/0),0% (0/0),0% (0/0),cnndm8997,unilm_out_v1,"['1424', '1425', '1426', '1427', '1428', '1429', '1430', '1431', '1432', '1433', '1434', '1435', '1436', '1437', '1438', '1439']","Stevie McCrorie beat Lucy o ` Byrne in the final of The Voice UK 2015 . It was the first ever winner of the talent show , which was created by Sir Tom Jones in 2012 . Leanne Mitchell's debut single , a cover of Whitney Houston's I would run to you , failed to chart in the top 100 . She has now been dropped by her .",Leanne Mitchell has been dropped by her label,Leanne Mitchell sings at a holiday camp,Andrea Begley is yet to become a household name,Jermain Jackman is yet to become a household name,Stevie won in 2015,Will Stevie become a chart success?,Will Stevie become another voice flop?,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,{},,
71,391JB9X402W6WCXY9AIHBRR34GSKMP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3RU7GD8VPTHDRI4DX1OC818UPUJPSG,A3PYB8Z6FFWSOV,Submitted,2020-05-24 00:56:42,2020-05-24 01:27:22,Wed May 27 01:27:22 PDT 2020,,,,1840,0% (0/0),0% (0/0),0% (0/0),cnndm11343,unilm_out_v1,"['400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '413', '414', '415']",Brazil right back Danilo will join Real Madrid in a deal worth # 23million . Porto have made a habit of selling on players for huge profits . Since winning the Champions League under Jose Mourinho the majority of the deals have involved South Americans . Nineteen of the 29 players featured in the table below have South American backgrounds .,Danilo agrred this week.,Danilo agreed to join Real Madrid.,Danilo agreed to join in the summer.,Danilo agreed to join for 23 million.,Total player sales is 440 million since 2004.,James Rodriguez sold by Porto.,Pepe sold by Porto.,Radamel Falcao sold by Porto.,Click here for all the latest Real Madrid News .,Players sold by Porto.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,p,n,p,n,n,n,n,n,{},,
72,3MG8450X3SYQKBZNV4EBYIUWBC1PUN,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3ATTHHXXWFCT6D38EG4FYCOAIVRIX6,AOWLCXNXCSQAC,Submitted,2020-05-24 01:05:16,2020-05-24 01:10:45,Wed May 27 01:10:45 PDT 2020,,,,329,0% (0/0),0% (0/0),0% (0/0),cnndm9555,unilm_out_v1,"['1280', '1281', '1282', '1283', '1284', '1285', '1286', '1287', '1288', '1289', '1290', '1291', '1292', '1293', '1294', '1295']","Manchester City's James Milner could leave as a free agent . Swansea's Gerhard Tremmel , 36 , is the understudy for Lukasz Fabianski . England's first - choice right - back at the World Cup looks set to leave Liverpool . Ron Vlaar could leave Aston Villa . Luke Garbutt is yet to put pen to paper on a New Deal at Everton . Danny Welbeck has been linked with A.",Gerhard Tremmel plays for Swansea,Gerhard Tremmel was in goal,Gerhard Tremmel played for free agents' 4 -4-2,Glen Johnson was at the back,Kolo Toure was at the back,Ron Vlaar was at the back,Luke Garbutt was at the back,James Milner was in midfield,Mikel Arteta was in the midfield,Tom Cleverly was in the midfield,Jonas Gutierrez was in the midfield,Danny Ings plays for Burnley,Danny Ings was up front,James Wilson plays for Manchester United,James Wilson was up front,BLANK,n,n,n,n,n,n,n,p,p,n,n,p,p,n,n,p,{},,
74,3VZYA8PIUSM6BF5ODIRDB5184NX50F,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3WQ3B2KGED4BT4491DRRHGGWIQRB1X,A3PYB8Z6FFWSOV,Submitted,2020-05-24 00:56:38,2020-05-24 01:25:38,Wed May 27 01:25:38 PDT 2020,,,,1740,0% (0/0),0% (0/0),0% (0/0),cnndm6976,unilm_out_v1,"['48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63']","Paul Armstrong , 26 , flew to Cyprus to celebrate new job as it project manager . But he was stopped at airport with stun gun disguised as baton and Knuckle Duster . Armstrong pleaded guilty to possession of a firearm and two offensive weapons . He lost his job before he even started it at Newcastle Crown Court . Judge said : ` The general public need to be .",Paul Armstrong flew to Cyprus.,Paul Armstrong celebrated new job.,Paul Armstrong's new job was as IT project manager.,Paul Armstrong was stopped at the Airport.,Paul Armstrong had a stun gun.,Paul Armstrong had a baton.,Paul Armstrong had a Knuckle Duster.,Paul Armstrong had many objects in his bag.,Paul Armstrong pleaded guilty to possession of a firearm.,Paul Armstrong lost his job.,Paul Armstrong did not start his job.,Paul Armstrong was 26 years old.,Paul Armstrong was sentenced.,Paul Armstrong was sentenced to eight months in jail.,Paul Armstrong was suspended for two years.,BLANK,p,p,p,n,n,n,n,p,p,p,p,p,n,p,p,p,{},,
75,3VZYA8PIUSM6BF5ODIRDB5184NX50F,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3YDTZAI2W24R85J0MYH492AQ8Y241C,A2GMGP393VX96T,Submitted,2020-05-23 23:24:22,2020-05-23 23:29:51,Tue May 26 23:29:51 PDT 2020,,,,329,0% (0/0),0% (0/0),0% (0/0),cnndm6976,unilm_out_v1,"['48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63']","Paul Armstrong , 26 , flew to Cyprus to celebrate new job as it project manager . But he was stopped at airport with stun gun disguised as baton and Knuckle Duster . Armstrong pleaded guilty to possession of a firearm and two offensive weapons . He lost his job before he even started it at Newcastle Crown Court . Judge said : ` The general public need to be .",Paul Armstrong flew to Cyprus.,Paul Armstrong celebrated new job.,Paul Armstrong's new job was as IT project manager.,Paul Armstrong was stopped at the Airport.,Paul Armstrong had a stun gun.,Paul Armstrong had a baton.,Paul Armstrong had a Knuckle Duster.,Paul Armstrong had many objects in his bag.,Paul Armstrong pleaded guilty to possession of a firearm.,Paul Armstrong lost his job.,Paul Armstrong did not start his job.,Paul Armstrong was 26 years old.,Paul Armstrong was sentenced.,Paul Armstrong was sentenced to eight months in jail.,Paul Armstrong was suspended for two years.,BLANK,p,p,p,n,n,n,n,p,p,p,p,p,p,p,n,p,{},,
76,375VSR8FW0XSIN9CEJH8K59QEC4ZRE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,34MAJL3QP9BNI8XF92VNXVPN6IH435,A12ATVBE1I4567,Submitted,2020-05-23 23:39:14,2020-05-24 00:05:31,Wed May 27 00:05:31 PDT 2020,,,,1577,0% (0/0),0% (0/0),0% (0/0),cnndm7535,unilm_out_v1,"['512', '513', '514', '515', '516', '517', '518', '519', '520', '521', '522', '523', '524', '525', '526', '527']","Prince Alwaleed Bin Talal has reportedly pledged to give each pilot a Bentley . He reportedly made the pledge on social media but the post has since been deleted . Saudi forces launched air strikes on Yemen a month ago to stop Shiite rebels . They are allied with Iran and previously overthrew the Saudi - backed government . Bin Talal , who is a billionaire , is one of the world .",Air strikes were launched by Saudi forces.,Air strikes were launched a month ago.,Air strikes were launched against rebels.,Saudi forces have been beating back Shite Houthi.,Shite Houthis are rebels.,Shite Houthis are in Yemen.,Prince Alwaleed Bin Talal pledged Bentleys.,Prince Alwaleed Bin Talal pledged for pilots involved in bombings.,Prince Alwaleed Bin Talal / He pleged on Wednesday.,Prince Alwaleed Bin Talal / He pledged after bombing raids resumed.,Bombing raids resumed despite official announcement that they would be halted.,The official announcement came last night.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,p,n,n,{},,
78,3D1TUISJXMOY3PCJI9ORPLTKPY6UIG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3AMW0RGHOIQGB5C8P57Q97YO2V6PNZ,A101U3FTZYY87V,Submitted,2020-05-24 00:03:58,2020-05-24 00:05:13,Wed May 27 00:05:13 PDT 2020,,,,75,100% (2/2),100% (2/2),100% (2/2),cnndm5025,unilm_out_v1,"['1088', '1089', '1090', '1091', '1092', '1093', '1094', '1095', '1096', '1097', '1098', '1099', '1100', '1101', '1102', '1103']","Zbigniew Huminski , 38 , has confessed to strangling his nine - year - old victim . Chloe , identified by her first name of Chloe , was stripped naked and sexually assaulted . She was then driven to an isolated wood where she was raped and murdered . The Little Girl's naked body was found in the woods 90 minutes after she was taken . Chloe's mother , Isabelle , Heard .",Chloe's was playing with friend.,Zbigniew Huminski forced Chloe into the car.,Chloe's naked body was found.,Chloe's body was found in nearby woods.,Chloe's body was found an hour - and - A - half later.,Prosecutors say there is evidence.,The evidence was of ' strangulation and sexual violence '.,Zbigniew Huminski is a Polish immigrant.,Zbigniew Huminski was heading to England.,Zbigniew Huminski has admitted to killing.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,p,n,p,n,n,n,n,{},,
