,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
79,3D06DR523970KZOCXJ5SHDO7Z4XMAB,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:16 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:16 PDT 2020,,,3QXNC7EIPNJSYM4U7A9VC52WPX909Y,A7NZ814Q5MX2R,Submitted,2020-05-23 17:27:43,2020-05-23 17:48:21,Tue May 26 17:48:21 PDT 2020,,,,1238,0% (0/0),0% (0/0),0% (0/0),cnndm2748,bart_out,"['1040', '1041', '1042', '1043', '1044', '1045', '1046', '1047', '1048', '1049', '1050', '1051', '1052', '1053', '1054', '1055']","Paula Dunican spent £ 25 on the Baby Blue Coat at her local branch in Canterbury , Kent . But when she took it home to try on , she noticed a dark stain ' seeping through ' from the lining . Inside , a four inch - long gecko was flattened , its scales imprinted onto the fabric . Asda apologised and offered her a refund and £ 40 voucher .",Paula Dunican paid 25.,Paula Dunican paid for the Baby Blue Coat,Paula Dunican paid at her local branch of Asda.,Paula Dunican noticed a ' seeping ' stain.,Paula Dunican noticed stain on the back of coat.,Paula Dunican noticed stain when she took the coat home.,Paula Dunican discovered the reptile ' s crushed body.,Paula Dunican discovered the reptile body on the garment 's lining.,Paula Dunican discovered the body after noticing the stain.,The supermarket apologised.,The supermarket offered Paula Dunican a 40 voucher.,The supermarket offered Paula Dunican a refund.,BLANK,BLANK,BLANK,BLANK,p,p,p,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
80,3D4BBDG70LKNRSD0BFW4R95PZG1C3N,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:16 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:16 PDT 2020,,,3B2X28YI31360Q567J38CC7DQ086BP,AHKYVHP6591H8,Submitted,2020-05-23 18:34:41,2020-05-23 19:08:44,Tue May 26 19:08:44 PDT 2020,,,,2043,100% (31/31),100% (31/31),100% (31/31),cnndm8997,bart_out,"['1424', '1425', '1426', '1427', '1428', '1429', '1430', '1431', '1432', '1433', '1434', '1435', '1436', '1437', '1438', '1439']","Stevie McCrorie has been crowned the winner of The Voice UK 2015 . He beat fellow contestant Lucy O'Byrne in the final . Now he has to break the curse of previous winners who flop out of the charts . Series One winner Leanne Mitchell failed to rank any higher than number 45 . Her debut single , a cover of Whitney Houston's I would run to you only just managed to scrape into the top 50 after being released . Andrea Begley's album , the message , released in October 2013 did make it to number seven in the album charts , but compare that to the success of most X Factor winners .",Leanne Mitchell has been dropped by her label,Leanne Mitchell sings at a holiday camp,Andrea Begley is yet to become a household name,Jermain Jackman is yet to become a household name,Stevie won in 2015,Will Stevie become a chart success?,Will Stevie become another voice flop?,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,p,n,n,{},,
81,3D4BBDG70LKNRSD0BFW4R95PZG1C3N,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:16 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:16 PDT 2020,,,3ZY8KE4ISOREJMMWR986JTIBTT1VQI,A2H0VR477QHYO7,Submitted,2020-05-23 18:48:00,2020-05-23 18:50:37,Tue May 26 18:50:37 PDT 2020,,,,157,0% (0/0),0% (0/0),0% (0/0),cnndm8997,bart_out,"['1424', '1425', '1426', '1427', '1428', '1429', '1430', '1431', '1432', '1433', '1434', '1435', '1436', '1437', '1438', '1439']","Stevie McCrorie has been crowned the winner of The Voice UK 2015 . He beat fellow contestant Lucy O'Byrne in the final . Now he has to break the curse of previous winners who flop out of the charts . Series One winner Leanne Mitchell failed to rank any higher than number 45 . Her debut single , a cover of Whitney Houston's I would run to you only just managed to scrape into the top 50 after being released . Andrea Begley's album , the message , released in October 2013 did make it to number seven in the album charts , but compare that to the success of most X Factor winners .",Leanne Mitchell has been dropped by her label,Leanne Mitchell sings at a holiday camp,Andrea Begley is yet to become a household name,Jermain Jackman is yet to become a household name,Stevie won in 2015,Will Stevie become a chart success?,Will Stevie become another voice flop?,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,p,n,n,{},,
83,3D7VY91L79L539T43X5OCO8DHMIMB6,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:16 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:16 PDT 2020,,,3Q5ZZ9ZEVT3RFO7LZO9TT43CMZ7857,A12ATVBE1I4567,Submitted,2020-05-23 17:58:53,2020-05-23 18:47:19,Tue May 26 18:47:19 PDT 2020,,,,2906,0% (0/0),0% (0/0),0% (0/0),cnndm7823,bart_out,"['352', '353', '354', '355', '356', '357', '358', '359', '360', '361', '362', '363', '364', '365', '366', '367']","Drivers pulled over on Interstate 20 in Albilene , Texas , to pick up the cash . Video shows motorists frantically grabbing the notes in between stopped vehicles . Police have warned that if anyone is caught with cash that was inside the truck - they could land themselves behind bars . Weatherford Police Department said all of the lost money had been picked up .",Bundles of notes spilled onto Interstate 20.,The bundles of notes were spilled in Albilene Texas.,The bundles of notes were spilled on Friday.,Passenger door of vehicle was flung open.,The opening of door released the money onto the road.,Motorists pulled over.,Motorists abandoned their vehicles.,Motorists picked up the cash.,Police have warned anyone caught with the money will be arrested.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,p,n,p,p,,,
84,3EQVJH0T549J7HMACMGWKD6367JTHU,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:20 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:20 PDT 2020,,,3AMW0RGHOIQGB5C8P57Q97YO2UKPNB,A1A3J5IXCM8A7X,Submitted,2020-05-23 19:52:02,2020-05-23 19:53:43,Tue May 26 19:53:43 PDT 2020,,,,101,0% (0/0),0% (0/0),0% (0/0),cnndm10586,bart_out,"['576', '577', '578', '579', '580', '581', '582', '583', '584', '585', '586', '587', '588', '589', '590', '591']","The money was collected from students at the University of Surrey . It was submerged in agar - a substance that allows bacteria to grow quickly . After the experiment , the cash was washed and returned to the students . Thousands of bacteria colonies were found living on the sample of money . Most of the bacteria found on the coins studied was harmless . But MRSA and food poisoning bacteria have been found on Money in previous studies .",Students discovered colonies.,Students were from University of Surrey.,There were thousands of colonies.,Students submerged coins in agar.,Students submerged notes in agar.,Submerging things in agar accelerated growth PF bacteria.,Most bacteria was harmless on the money.,One bacteria caused boils.,One bacteria caused spots.,Previous studies have revealed MRSA bacteria on notes.,Previous studies have revealed MRSA bacteria on coins.,BLANK,BLANK,BLANK,BLANK,BLANK,p,p,n,n,n,n,n,p,p,p,p,p,p,p,n,n,{},,
85,3EQVJH0T549J7HMACMGWKD6367JTHU,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:20 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:20 PDT 2020,,,3PQMUDRV7WUWGIEDFU4EV21VUHPII6,A314XJY8V1YL12,Submitted,2020-05-23 18:53:53,2020-05-23 18:57:16,Tue May 26 18:57:16 PDT 2020,,,,203,0% (0/0),0% (0/0),0% (0/0),cnndm10586,bart_out,"['576', '577', '578', '579', '580', '581', '582', '583', '584', '585', '586', '587', '588', '589', '590', '591']","The money was collected from students at the University of Surrey . It was submerged in agar - a substance that allows bacteria to grow quickly . After the experiment , the cash was washed and returned to the students . Thousands of bacteria colonies were found living on the sample of money . Most of the bacteria found on the coins studied was harmless . But MRSA and food poisoning bacteria have been found on Money in previous studies .",Students discovered colonies.,Students were from University of Surrey.,There were thousands of colonies.,Students submerged coins in agar.,Students submerged notes in agar.,Submerging things in agar accelerated growth PF bacteria.,Most bacteria was harmless on the money.,One bacteria caused boils.,One bacteria caused spots.,Previous studies have revealed MRSA bacteria on notes.,Previous studies have revealed MRSA bacteria on coins.,BLANK,BLANK,BLANK,BLANK,BLANK,n,p,n,n,n,n,n,p,p,p,p,n,p,p,n,n,{},,
86,3FHTJGYT9RO7FTYSBZPUU3T524LGPD,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:12 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:12 PDT 2020,,,33NF62TLXOQJHOO7XFAQKJV8Z07JKY,AE3ZQZ2Z81Z11,Submitted,2020-05-23 19:29:57,2020-05-23 19:30:35,Tue May 26 19:30:35 PDT 2020,,,,38,0% (0/0),0% (0/0),0% (0/0),cnndm5626,bart_out,"['1216', '1217', '1218', '1219', '1220', '1221', '1222', '1223', '1224', '1225', '1226', '1227', '1228', '1229', '1230', '1231']","Michael Pulman , 33 , spent £ 7,500 on a hair transplant to boost his self - esteem . Andrea Carter , 72 , from Leighton Buzzard , has her baggy jowls removed . Emma Tallon , 27 , paid £ 3,100 for liposuction on her thighs , which are too big .",Harley Street is a top destination,Harley Street is a top destination for private cosmetic surgery.,Patients pay thousands for cosmetic treatments.,Patients hope treatment will change their lives.,Michael is 33.,"Michael spent 7,500.","Michael spent 7,500 on a hair transplant.",Michael got hair transplant to boost his self - esteem.,Andrea is 72.,Andrea pays for a facelift.,Andrea husband can't tell the difference after her facelift.,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,p,n,p,p,p,p,p,{},,
87,3FHTJGYT9RO7FTYSBZPUU3T524LGPD,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:12 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:12 PDT 2020,,,3HPZF4IVNRHRTF7IR2UV6NXO7VPCYQ,AHKYVHP6591H8,Submitted,2020-05-23 17:14:37,2020-05-23 17:25:02,Tue May 26 17:25:02 PDT 2020,,,,625,100% (31/31),100% (31/31),100% (31/31),cnndm5626,bart_out,"['1216', '1217', '1218', '1219', '1220', '1221', '1222', '1223', '1224', '1225', '1226', '1227', '1228', '1229', '1230', '1231']","Michael Pulman , 33 , spent £ 7,500 on a hair transplant to boost his self - esteem . Andrea Carter , 72 , from Leighton Buzzard , has her baggy jowls removed . Emma Tallon , 27 , paid £ 3,100 for liposuction on her thighs , which are too big .",Harley Street is a top destination,Harley Street is a top destination for private cosmetic surgery.,Patients pay thousands for cosmetic treatments.,Patients hope treatment will change their lives.,Michael is 33.,"Michael spent 7,500.","Michael spent 7,500 on a hair transplant.",Michael got hair transplant to boost his self - esteem.,Andrea is 72.,Andrea pays for a facelift.,Andrea husband can't tell the difference after her facelift.,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,p,n,p,p,p,p,p,{},,
88,3FULMHZ7PYLLIA8VOIV14A277U1M40,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:11 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:11 PDT 2020,,,3HVVDCPGTJG8FW9TDOPLVXXSVHUTYV,A2Y5ZQV27N0D0Z,Submitted,2020-05-23 17:48:20,2020-05-23 17:49:39,Tue May 26 17:49:39 PDT 2020,,,,79,0% (0/0),0% (0/0),0% (0/0),cnndm10325,bart_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']",Residents on Greville Street say they had suspicious power cuts a week before heist . Also claim to have heard ' drilling ' noises on the evening of Good Friday . But thought at the time that this was simply a continuation of road works . It has also been alleged that the thieves returned a day after the initial robbery to steal more loot after becoming ' greedy ' .,There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,p,p,n,n,n,n,{},,
89,3FULMHZ7PYLLIA8VOIV14A277U1M40,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:11 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:11 PDT 2020,,,3WZ36BJEV84C2OGI3WB1NMZRA8ABTW,A1YGF0LJJGB30G,Submitted,2020-05-23 17:35:08,2020-05-23 17:35:50,Tue May 26 17:35:50 PDT 2020,,,,42,0% (0/0),0% (0/0),0% (0/0),cnndm10325,bart_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']",Residents on Greville Street say they had suspicious power cuts a week before heist . Also claim to have heard ' drilling ' noises on the evening of Good Friday . But thought at the time that this was simply a continuation of road works . It has also been alleged that the thieves returned a day after the initial robbery to steal more loot after becoming ' greedy ' .,There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,n,n,{},,
90,3H781YYV7X67N7V8ML8QZA9QERRTEE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:15 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:15 PDT 2020,,,3GA6AFUKOTCHUKLAO9F6RKYRBMJH3I,AFQKLIYNCVZTL,Submitted,2020-05-23 19:49:26,2020-05-23 19:50:35,Tue May 26 19:50:35 PDT 2020,,,,69,0% (0/0),0% (0/0),0% (0/0),cnndm2065,bart_out,"['1408', '1409', '1410', '1411', '1412', '1413', '1414', '1415', '1416', '1417', '1418', '1419', '1420', '1421', '1422', '1423']","Abby Bishop took in her two - day - old niece Zala in August 2013 . Now Zala is 20 months old and follows Bishop as she travels the world playing for professional teams . The Basketballer , who lives in Canberra , has looked after her niece since she was two days old . Zala will go with bishop to the U.S. this may when she starts playing for the Seattle Storm in the WNBA .",Abby Bishop took in her niece,Niece is named Zala,Niece / Zala was two days old when Abby Bishop took her in,Abby Bishop took in her niece in August 2013,Niece / Zala is now 20 months old,Niece / Zala follows Bishop as she travels the world,Abby Bishop travels the world,Abby Bishop travels for professional basketball teams,Abby Bishop said taking in her niece / Zala was a big decision,Abby Bishop said that she wouldn't change anything,Niece / Zala will go with Abby Bishop when she starts playing in the U.S. WNBA,Abby Bishop will play for the U.S. WNBA in May,BLANK,BLANK,BLANK,BLANK,n,p,p,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
91,3H781YYV7X67N7V8ML8QZA9QERRTEE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:15 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:15 PDT 2020,,,3ZY8KE4ISOREJMMWR986JTIBTT0QVC,A314XJY8V1YL12,Submitted,2020-05-23 18:40:00,2020-05-23 18:42:03,Tue May 26 18:42:03 PDT 2020,,,,123,0% (0/0),0% (0/0),0% (0/0),cnndm2065,bart_out,"['1408', '1409', '1410', '1411', '1412', '1413', '1414', '1415', '1416', '1417', '1418', '1419', '1420', '1421', '1422', '1423']","Abby Bishop took in her two - day - old niece Zala in August 2013 . Now Zala is 20 months old and follows Bishop as she travels the world playing for professional teams . The Basketballer , who lives in Canberra , has looked after her niece since she was two days old . Zala will go with bishop to the U.S. this may when she starts playing for the Seattle Storm in the WNBA .",Abby Bishop took in her niece,Niece is named Zala,Niece / Zala was two days old when Abby Bishop took her in,Abby Bishop took in her niece in August 2013,Niece / Zala is now 20 months old,Niece / Zala follows Bishop as she travels the world,Abby Bishop travels the world,Abby Bishop travels for professional basketball teams,Abby Bishop said taking in her niece / Zala was a big decision,Abby Bishop said that she wouldn't change anything,Niece / Zala will go with Abby Bishop when she starts playing in the U.S. WNBA,Abby Bishop will play for the U.S. WNBA in May,BLANK,BLANK,BLANK,BLANK,n,p,p,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
92,3HJ1EVZS3S7RXU2JTCMZG44BZH4R38,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:17 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:17 PDT 2020,,,39RP059MEMH8PTQYUZAP184ZG0XBME,A12ATVBE1I4567,Submitted,2020-05-23 20:19:03,2020-05-23 20:50:54,Tue May 26 20:50:54 PDT 2020,,,,1911,0% (0/0),0% (0/0),0% (0/0),cnndm9502,bart_out,"['1008', '1009', '1010', '1011', '1012', '1013', '1014', '1015', '1016', '1017', '1018', '1019', '1020', '1021', '1022', '1023']","Nasr Bitar spotted the car on the streets of Mississauga , Canada . He followed it in his own vehicle , and got in position just in time . The college student then uploaded the picture to Instagram . It has now been viewed almost 2.9 million times since it was posted .",Nasr Bitar spotted Google Street View car.,Nasr Bitar spotted Google Street View car driving around.,Nasr Bitar spotted Google Street View car last autumn.,Nasr Bitar decided it was ' his time to shine '.,Nasr Bitar followed in his car to get a selfie.,Nasr Bitar followed Google Street View car.,Nasr Bitar sensing the perfect moment in Mississauga.,Nasr Bitar got out and took the snap.,Picture of Nasr's selfie and the Street View Image was shared.,The image was shared 2.9 million times.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
93,3HJ1EVZS3S7RXU2JTCMZG44BZH4R38,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:17 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:17 PDT 2020,,,3YWRV122CXN803X00PH11GVSLG2U8D,A2Y5ZQV27N0D0Z,Submitted,2020-05-23 18:16:05,2020-05-23 18:18:19,Tue May 26 18:18:19 PDT 2020,,,,134,0% (0/0),0% (0/0),0% (0/0),cnndm9502,bart_out,"['1008', '1009', '1010', '1011', '1012', '1013', '1014', '1015', '1016', '1017', '1018', '1019', '1020', '1021', '1022', '1023']","Nasr Bitar spotted the car on the streets of Mississauga , Canada . He followed it in his own vehicle , and got in position just in time . The college student then uploaded the picture to Instagram . It has now been viewed almost 2.9 million times since it was posted .",Nasr Bitar spotted Google Street View car.,Nasr Bitar spotted Google Street View car driving around.,Nasr Bitar spotted Google Street View car last autumn.,Nasr Bitar decided it was ' his time to shine '.,Nasr Bitar followed in his car to get a selfie.,Nasr Bitar followed Google Street View car.,Nasr Bitar sensing the perfect moment in Mississauga.,Nasr Bitar got out and took the snap.,Picture of Nasr's selfie and the Street View Image was shared.,The image was shared 2.9 million times.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,n,n,n,p,n,n,n,{},,
94,3I4E7AFQ3ONFYNH00MJHWQMIJZNTJZ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:21 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:21 PDT 2020,,,3ON104KXQPKK96Z3JM6P2S0K4AK4WI,AYIFHDQSXQJ6B,Submitted,2020-05-23 18:31:47,2020-05-23 18:52:09,Tue May 26 18:52:09 PDT 2020,,,,1222,0% (0/0),0% (0/0),0% (0/0),cnndm10368,bart_out,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']",Rory McIlroy is looking to complete a career Grand Slam this week . Only five men have won all four of golf's majors in the Masters era . A win at Augusta National would also be the third major he has won in a row . The 25 - year - old shot one under par in the traditional par - 3 contest on Wednesday .,Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,p,n,n,p,p,n,n,n,n,p,n,n,p,n,n,n,{},,
95,3I4E7AFQ3ONFYNH00MJHWQMIJZNTJZ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:21 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:21 PDT 2020,,,3QIYRE09Y85DUDT643W08BGQZEVN1M,A12ATVBE1I4567,Submitted,2020-05-23 17:21:54,2020-05-23 17:33:57,Tue May 26 17:33:57 PDT 2020,,,,723,0% (0/0),0% (0/0),0% (0/0),cnndm10368,bart_out,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']",Rory McIlroy is looking to complete a career Grand Slam this week . Only five men have won all four of golf's majors in the Masters era . A win at Augusta National would also be the third major he has won in a row . The 25 - year - old shot one under par in the traditional par - 3 contest on Wednesday .,Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,p,p,n,n,n,n,n,n,n,n,n,n,n,{},,
96,3I7SHAD36QKI1XQEQGT87MMHYWRM7K,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:15 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:15 PDT 2020,,,3AQF3RZ55D6WD7HMCLP4V2YY5Y06F7,AHKYVHP6591H8,Submitted,2020-05-23 18:35:23,2020-05-23 19:09:30,Tue May 26 19:09:30 PDT 2020,,,,2047,100% (31/31),100% (31/31),100% (31/31),cnndm9393,bart_out,"['1168', '1169', '1170', '1171', '1172', '1173', '1174', '1175', '1176', '1177', '1178', '1179', '1180', '1181', '1182', '1183']","Kathy Ferreiro , 21 , has been dubbed the ' Cuban Kim Kardashian ' her Instagram and Twitter accounts are attracting new followers daily . The Miami - based Latina has a huge following in Colombia and other Latin American countries . She says that her pictures are ' 100 percent real ' without photoshopping .",Kathy Ferreiro is born in Cuba.,Kathy Ferreiro's curves have attracted fans on social media.,Kathy Ferreiro loves Bikini.,Kathy Ferreiro says photos of her booty are all natural.,Kathy Ferreiro is Miami based.,Kathy Ferreiro is a party girl.,Kathy Ferreiro hopes to become next Kim Kardashian.,Kathy Ferreiro has a huge following in Colombia,Kathy Ferreiro has a huge following in other Latin American countries.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,p,n,n,p,p,{},,
